run_id,task_type,gpu_energy_j,model
1,factual_simple,503.753,qwen_72b
2,factual_simple,502.432,qwen_72b
3,factual_simple,20.505,qwen_72b
4,factual_simple,310.258,qwen_72b
5,factual_simple,195.515,qwen_72b
6,factual_simple,502.431,qwen_72b
7,factual_simple,342.149,qwen_72b
8,factual_simple,509.637,qwen_72b
9,factual_simple,508.488,qwen_72b
10,factual_simple,511.081,qwen_72b
11,factual_simple,306.02,qwen_72b
12,factual_simple,510.37,qwen_72b
13,factual_simple,201.286,qwen_72b
14,factual_simple,505.875,qwen_72b
15,factual_simple,339.443,qwen_72b
16,factual_simple,224.757,qwen_72b
17,factual_simple,506.987,qwen_72b
18,factual_simple,513.43,qwen_72b
19,factual_simple,504.375,qwen_72b
20,factual_simple,499.255,qwen_72b
21,summarization_short,1331.876,qwen_72b
22,summarization_short,1774.56,qwen_72b
23,summarization_short,1788.145,qwen_72b
24,summarization_short,1783.783,qwen_72b
25,summarization_short,1773.843,qwen_72b
26,summarization_short,1770.792,qwen_72b
27,summarization_short,1522.554,qwen_72b
28,summarization_short,1759.107,qwen_72b
29,summarization_short,912.261,qwen_72b
30,summarization_short,1776.9,qwen_72b
31,summarization_short,1763.836,qwen_72b
32,summarization_short,1775.712,qwen_72b
33,summarization_short,1774.76,qwen_72b
34,summarization_short,1782.326,qwen_72b
35,summarization_short,1771.55,qwen_72b
36,summarization_short,1775.114,qwen_72b
37,summarization_short,1146.453,qwen_72b
38,summarization_short,1770.016,qwen_72b
39,summarization_short,1348.142,qwen_72b
40,summarization_short,1771.866,qwen_72b
41,reasoning_arithmetic,2792.98,qwen_72b
42,reasoning_arithmetic,2870.051,qwen_72b
43,reasoning_arithmetic,2798.003,qwen_72b
44,reasoning_arithmetic,2787.297,qwen_72b
45,reasoning_arithmetic,2874.918,qwen_72b
46,reasoning_arithmetic,2874.509,qwen_72b
47,reasoning_arithmetic,1366.748,qwen_72b
48,reasoning_arithmetic,2624.275,qwen_72b
49,reasoning_arithmetic,2883.755,qwen_72b
50,reasoning_arithmetic,2271.474,qwen_72b
51,reasoning_arithmetic,2768.01,qwen_72b
52,reasoning_arithmetic,2457.262,qwen_72b
53,reasoning_arithmetic,2796.618,qwen_72b
54,reasoning_arithmetic,2864.414,qwen_72b
55,reasoning_arithmetic,2787.075,qwen_72b
56,reasoning_arithmetic,2787.623,qwen_72b
57,reasoning_arithmetic,2870.716,qwen_72b
58,reasoning_arithmetic,2876.558,qwen_72b
59,reasoning_arithmetic,2873.533,qwen_72b
60,reasoning_arithmetic,2774.759,qwen_72b
61,code_simple,4549.786,qwen_72b
62,code_simple,4187.489,qwen_72b
63,code_simple,4194.201,qwen_72b
64,code_simple,3998.863,qwen_72b
65,code_simple,4208.998,qwen_72b
66,code_simple,4178.731,qwen_72b
67,code_simple,4021.217,qwen_72b
68,code_simple,4176.321,qwen_72b
69,code_simple,4177.308,qwen_72b
70,code_simple,3107.381,qwen_72b
71,code_simple,4204.227,qwen_72b
72,code_simple,4182.665,qwen_72b
73,code_simple,3445.554,qwen_72b
74,code_simple,4182.116,qwen_72b
75,code_simple,4191.897,qwen_72b
76,code_simple,4192.553,qwen_72b
77,code_simple,4182.634,qwen_72b
78,code_simple,4181.499,qwen_72b
79,code_simple,3174.801,qwen_72b
80,code_simple,4190.368,qwen_72b
81,factual_simple,460.349,qwen2_72b
82,factual_simple,454.546,qwen2_72b
83,factual_simple,462.925,qwen2_72b
84,factual_simple,454.814,qwen2_72b
85,factual_simple,305.48,qwen2_72b
86,factual_simple,455.931,qwen2_72b
87,factual_simple,146.028,qwen2_72b
88,factual_simple,459.552,qwen2_72b
89,factual_simple,458.003,qwen2_72b
90,factual_simple,459.432,qwen2_72b
91,factual_simple,456.883,qwen2_72b
92,factual_simple,252.006,qwen2_72b
93,factual_simple,169.684,qwen2_72b
94,factual_simple,279.36,qwen2_72b
95,factual_simple,458.47,qwen2_72b
96,factual_simple,298.39,qwen2_72b
97,factual_simple,456.403,qwen2_72b
98,factual_simple,145.911,qwen2_72b
99,factual_simple,460.421,qwen2_72b
100,factual_simple,460.02,qwen2_72b
101,summarization_short,1599.449,qwen2_72b
102,summarization_short,1590.864,qwen2_72b
103,summarization_short,1605.71,qwen2_72b
104,summarization_short,1592.22,qwen2_72b
105,summarization_short,1602.435,qwen2_72b
106,summarization_short,1608.331,qwen2_72b
107,summarization_short,1604.911,qwen2_72b
108,summarization_short,1054.261,qwen2_72b
109,summarization_short,1595.481,qwen2_72b
110,summarization_short,1489.865,qwen2_72b
111,summarization_short,1603.56,qwen2_72b
112,summarization_short,1603.329,qwen2_72b
113,summarization_short,1593.287,qwen2_72b
114,summarization_short,1616.194,qwen2_72b
115,summarization_short,1606.604,qwen2_72b
116,summarization_short,1605.203,qwen2_72b
117,summarization_short,1596.131,qwen2_72b
118,summarization_short,1136.746,qwen2_72b
119,summarization_short,1600.994,qwen2_72b
120,summarization_short,1543.154,qwen2_72b
121,reasoning_arithmetic,2717.413,qwen2_72b
122,reasoning_arithmetic,2634.63,qwen2_72b
123,reasoning_arithmetic,2550.699,qwen2_72b
124,reasoning_arithmetic,2547.402,qwen2_72b
125,reasoning_arithmetic,1747.169,qwen2_72b
126,reasoning_arithmetic,2381.983,qwen2_72b
127,reasoning_arithmetic,2546.185,qwen2_72b
128,reasoning_arithmetic,2610.54,qwen2_72b
129,reasoning_arithmetic,2559.946,qwen2_72b
130,reasoning_arithmetic,2044.141,qwen2_72b
131,reasoning_arithmetic,2600.881,qwen2_72b
132,reasoning_arithmetic,2554.993,qwen2_72b
133,reasoning_arithmetic,2549.403,qwen2_72b
134,reasoning_arithmetic,2560.524,qwen2_72b
135,reasoning_arithmetic,2611.72,qwen2_72b
136,reasoning_arithmetic,2548.442,qwen2_72b
137,reasoning_arithmetic,2621.835,qwen2_72b
138,reasoning_arithmetic,2617.119,qwen2_72b
139,reasoning_arithmetic,2615.761,qwen2_72b
140,reasoning_arithmetic,2620.978,qwen2_72b
141,code_simple,3841.316,qwen2_72b
142,code_simple,3827.716,qwen2_72b
143,code_simple,3844.492,qwen2_72b
144,code_simple,3841.055,qwen2_72b
145,code_simple,3836.081,qwen2_72b
146,code_simple,3833.418,qwen2_72b
147,code_simple,3826.102,qwen2_72b
148,code_simple,3823.355,qwen2_72b
149,code_simple,3846.891,qwen2_72b
150,code_simple,3834.761,qwen2_72b
151,code_simple,3842.716,qwen2_72b
152,code_simple,3834.818,qwen2_72b
153,code_simple,3855.626,qwen2_72b
154,code_simple,3837.992,qwen2_72b
155,code_simple,3825.707,qwen2_72b
156,code_simple,3829.773,qwen2_72b
157,code_simple,3487.464,qwen2_72b
158,code_simple,3852.277,qwen2_72b
159,code_simple,3833.21,qwen2_72b
160,code_simple,3854.89,qwen2_72b
161,factual_simple,557.025,qwen2_5_72b
162,factual_simple,557.537,qwen2_5_72b
163,factual_simple,555.439,qwen2_5_72b
164,factual_simple,556.339,qwen2_5_72b
165,factual_simple,550.315,qwen2_5_72b
166,factual_simple,555.582,qwen2_5_72b
167,factual_simple,554.161,qwen2_5_72b
168,factual_simple,559.589,qwen2_5_72b
169,factual_simple,555.935,qwen2_5_72b
170,factual_simple,561.796,qwen2_5_72b
171,factual_simple,341.325,qwen2_5_72b
172,factual_simple,179.06,qwen2_5_72b
173,factual_simple,561.349,qwen2_5_72b
174,factual_simple,556.0,qwen2_5_72b
175,factual_simple,556.557,qwen2_5_72b
176,factual_simple,209.435,qwen2_5_72b
177,factual_simple,558.621,qwen2_5_72b
178,factual_simple,555.292,qwen2_5_72b
