run_id,task_type,gpu_energy_j
1,summarization_short,1377.817
2,reasoning_arithmetic,3069.838
3,summarization_short,1670.836
4,summarization_short,1949.184
5,code_simple,4653.38
6,code_simple,4629.673
7,code_simple,4637.158
8,factual_simple,557.025
9,summarization_short,1933.819
10,code_simple,4639.703
11,reasoning_arithmetic,3082.119
12,factual_simple,557.537
13,factual_simple,555.439
14,code_simple,4628.374
15,code_simple,4653.807
16,reasoning_arithmetic,3070.965
17,code_simple,4650.028
18,code_simple,4663.614
19,summarization_short,1482.67
20,reasoning_arithmetic,3194.578
21,reasoning_arithmetic,3176.554
22,summarization_short,1481.456
23,factual_simple,556.339
24,reasoning_arithmetic,3070.291
25,factual_simple,550.315
26,code_simple,4671.299
27,factual_simple,555.582
28,reasoning_arithmetic,3070.076
29,summarization_short,1948.911
30,summarization_short,1664.616
31,code_simple,4649.259
32,summarization_short,1945.276
33,summarization_short,1943.128
34,reasoning_arithmetic,3186.818
35,code_simple,4651.64
36,code_simple,4638.069
37,code_simple,4672.032
38,reasoning_arithmetic,3177.981
39,factual_simple,554.161
40,factual_simple,559.589
41,summarization_short,1350.631
42,factual_simple,555.935
43,factual_simple,561.796
44,factual_simple,341.325
45,code_simple,4634.641
46,summarization_short,1942.626
47,reasoning_arithmetic,3168.255
48,reasoning_arithmetic,3172.465
49,summarization_short,1937.913
50,code_simple,4656.629
51,summarization_short,1949.646
52,reasoning_arithmetic,3181.432
53,code_simple,4649.083
54,factual_simple,179.06
55,reasoning_arithmetic,3096.974
56,summarization_short,1604.165
57,reasoning_arithmetic,3074.736
58,factual_simple,561.349
59,factual_simple,556.0
60,code_simple,4643.273
61,summarization_short,1934.956
62,factual_simple,556.557
63,reasoning_arithmetic,3183.661
64,factual_simple,209.435
65,code_simple,4640.699
66,reasoning_arithmetic,3071.175
67,summarization_short,1941.111
68,factual_simple,558.621
69,code_simple,4645.353
70,code_simple,4645.829
71,factual_simple,555.292
72,reasoning_arithmetic,3073.17
73,factual_simple,558.677
74,reasoning_arithmetic,3076.836
75,reasoning_arithmetic,3076.653
76,summarization_short,1947.9
77,summarization_short,1941.416
78,reasoning_arithmetic,3163.12
79,factual_simple,558.541
80,summarization_short,1937.499
