run_id,task_type,gpu_energy_j
1,factual_simple,4.3
2,summarization_short,1.172
3,reasoning_arithmetic,3.211
4,factual_simple,0.32
5,summarization_short,1.281
6,code_simple,6.705
7,code_simple,6.589
8,summarization_short,1.217
9,code_simple,6.253
10,summarization_short,1.314
11,reasoning_arithmetic,3.035
12,summarization_short,1.28
13,summarization_short,1.214
14,summarization_short,1.405
15,code_simple,6.546
16,reasoning_arithmetic,2.851
17,code_simple,5.958
18,factual_simple,0.333
19,code_simple,6.656
20,reasoning_arithmetic,3.093
21,factual_simple,0.325
22,code_simple,5.951
23,factual_simple,0.318
24,factual_simple,0.309
25,code_simple,5.958
26,factual_simple,0.367
27,reasoning_arithmetic,3.013
28,code_simple,6.64
29,reasoning_arithmetic,2.89
30,factual_simple,0.358
31,reasoning_arithmetic,3.323
32,code_simple,6.513
33,reasoning_arithmetic,2.977
34,factual_simple,0.343
35,factual_simple,0.334
36,summarization_short,1.369
37,summarization_short,1.242
38,summarization_short,1.187
39,code_simple,6.656
40,factual_simple,0.333
41,reasoning_arithmetic,2.745
42,reasoning_arithmetic,2.825
43,code_simple,6.568
44,code_simple,6.33
45,reasoning_arithmetic,3.133
46,summarization_short,1.341
47,reasoning_arithmetic,2.871
48,reasoning_arithmetic,2.929
49,factual_simple,0.329
50,summarization_short,1.334
51,summarization_short,1.126
52,factual_simple,0.326
53,factual_simple,0.323
54,summarization_short,1.121
55,code_simple,6.645
56,code_simple,6.33
57,summarization_short,1.384
58,factual_simple,0.354
59,factual_simple,0.306
60,factual_simple,0.327
61,summarization_short,1.229
62,summarization_short,1.346
63,summarization_short,1.383
64,code_simple,6.203
65,factual_simple,0.384
66,reasoning_arithmetic,3.112
67,summarization_short,1.398
68,reasoning_arithmetic,2.841
69,reasoning_arithmetic,2.615
70,reasoning_arithmetic,2.72
71,code_simple,6.714
72,summarization_short,1.444
73,code_simple,6.386
74,code_simple,6.164
75,reasoning_arithmetic,2.763
76,code_simple,6.607
77,factual_simple,0.36
78,factual_simple,0.332
79,reasoning_arithmetic,2.954
80,reasoning_arithmetic,3.023
