run_id,task_type,gpu_energy_j
1,reasoning_arithmetic,2219.147
2,reasoning_arithmetic,2115.805
3,code_simple,2536.689
4,summarization_short,1491.829
5,code_simple,2558.455
6,reasoning_arithmetic,2100.897
7,summarization_short,1481.99
8,summarization_short,1484.424
9,summarization_short,1476.025
10,reasoning_arithmetic,1755.293
11,factual_simple,378.451
12,factual_simple,379.298
13,summarization_short,1505.524
14,reasoning_arithmetic,2111.727
15,reasoning_arithmetic,2131.208
16,reasoning_arithmetic,2128.217
17,factual_simple,364.116
18,code_simple,2552.588
19,factual_simple,363.24
20,code_simple,2510.866
21,summarization_short,1482.43
22,reasoning_arithmetic,2140.238
23,code_simple,2539.277
24,factual_simple,355.574
25,reasoning_arithmetic,2101.864
26,code_simple,2549.444
27,factual_simple,359.881
28,reasoning_arithmetic,2105.802
29,code_simple,2530.756
30,code_simple,2515.334
31,code_simple,2539.352
32,summarization_short,1500.119
33,reasoning_arithmetic,1741.937
34,code_simple,2537.397
35,summarization_short,1478.283
36,code_simple,2518.548
37,factual_simple,365.74
38,factual_simple,357.371
39,factual_simple,350.821
40,summarization_short,1502.967
41,factual_simple,375.431
42,code_simple,2583.739
43,code_simple,2596.409
44,code_simple,2593.711
45,reasoning_arithmetic,2125.718
46,factual_simple,376.829
47,reasoning_arithmetic,2111.561
48,factual_simple,355.929
49,reasoning_arithmetic,1755.929
50,factual_simple,361.031
51,factual_simple,374.084
52,reasoning_arithmetic,1751.327
53,summarization_short,1489.548
54,code_simple,2538.005
55,summarization_short,1498.812
56,summarization_short,1491.893
57,reasoning_arithmetic,1725.599
58,reasoning_arithmetic,1722.466
59,summarization_short,1492.764
60,factual_simple,377.082
61,code_simple,2519.724
62,summarization_short,1489.838
63,reasoning_arithmetic,1721.625
64,code_simple,2531.441
65,summarization_short,1499.62
66,factual_simple,385.612
67,factual_simple,345.483
68,factual_simple,366.299
69,code_simple,2534.46
70,code_simple,2538.062
71,summarization_short,1496.526
72,summarization_short,1481.723
73,summarization_short,1518.248
74,reasoning_arithmetic,1787.899
75,reasoning_arithmetic,2133.42
76,factual_simple,384.058
77,code_simple,2537.351
78,factual_simple,371.109
79,summarization_short,1492.727
80,summarization_short,1501.644
