run_id,task_type,gpu_energy_j
1,code_simple,4549.786
2,code_simple,4187.489
3,reasoning_arithmetic,2792.98
4,code_simple,4194.201
5,code_simple,3998.863
6,reasoning_arithmetic,2870.051
7,reasoning_arithmetic,2798.003
8,code_simple,4208.998
9,reasoning_arithmetic,2787.297
10,reasoning_arithmetic,2874.918
11,summarization_short,1331.876
12,code_simple,4178.731
13,factual_simple,503.753
14,summarization_short,1774.56
15,summarization_short,1788.145
16,summarization_short,1783.783
17,reasoning_arithmetic,2874.509
18,factual_simple,502.432
19,reasoning_arithmetic,1366.748
20,summarization_short,1773.843
21,summarization_short,1770.792
22,code_simple,4021.217
23,factual_simple,20.505
24,code_simple,4176.321
25,summarization_short,1522.554
26,reasoning_arithmetic,2624.275
27,factual_simple,310.258
28,factual_simple,195.515
29,summarization_short,1759.107
30,reasoning_arithmetic,2883.755
31,reasoning_arithmetic,2271.474
32,summarization_short,912.261
33,code_simple,4177.308
34,factual_simple,502.431
35,factual_simple,342.149
36,factual_simple,509.637
37,reasoning_arithmetic,2768.01
38,factual_simple,508.488
39,reasoning_arithmetic,2457.262
40,summarization_short,1776.9
41,reasoning_arithmetic,2796.618
42,code_simple,3107.381
43,code_simple,4204.227
44,factual_simple,511.081
45,factual_simple,306.02
46,reasoning_arithmetic,2864.414
47,summarization_short,1763.836
48,factual_simple,510.37
49,reasoning_arithmetic,2787.075
50,code_simple,4182.665
51,factual_simple,201.286
52,factual_simple,505.875
53,reasoning_arithmetic,2787.623
54,reasoning_arithmetic,2870.716
55,reasoning_arithmetic,2876.558
56,code_simple,3445.554
57,code_simple,4182.116
58,factual_simple,339.443
59,code_simple,4191.897
60,factual_simple,224.757
61,factual_simple,506.987
62,code_simple,4192.553
63,code_simple,4182.634
64,summarization_short,1775.712
65,factual_simple,513.43
66,summarization_short,1774.76
67,summarization_short,1782.326
68,code_simple,4181.499
69,code_simple,3174.801
70,code_simple,4190.368
71,summarization_short,1771.55
72,summarization_short,1775.114
73,reasoning_arithmetic,2873.533
74,factual_simple,504.375
75,reasoning_arithmetic,2774.759
76,summarization_short,1146.453
77,summarization_short,1770.016
78,factual_simple,499.255
79,summarization_short,1348.142
80,summarization_short,1771.866
